,review_es
161,"Esta película, aunque ostensiblemente una comedia, es mortal grave. Su tema es el imperialismo (con un capital I): cómo Gran Bretaña, tontamente, humillante, trata de convencerse de que sigue siendo un gran poder después de la Segunda Guerra Mundial. En casa, el Imperio está dirigido por Dolts amable, Benevolent Tories, que se encuentran tan in-criados que no pueden distinguir a los familiares cercanos; Las oficinas de gobierno consisten en archivos olvidadosos y olvidados (¡una excavación en la paranoia orwelliana), habitada por ratas indolentes y habitaciones con las habitaciones aburridas, que leen las novelas populares. Noveles, Gran Bretaña se aferra a la vieja pompa; Pero la pompa fuera del contexto se ve hilo y tonta, especialmente cuando se incorpora en torbel. Carlton-Browne es una imagen poco alejémica de la decadencia, sin nada de la podrición de Lacrymose que empañaba la joya supuestamente antiimperialista en la corona. La película también se trata de la guerra fría, admitiendo valientemente que es una farsa peligrosa, cuyos participantes merecen burla y Desprecio, no miedo y respeto. Se trata de cómo el colonialismo, caracterizado por la negligencia que la tiranía, destruye las colonias que abandonan, robándolas de comodidades, el poder y, lo más importante, la autoestima, dejándolos vulnerables a las maquinaciones de los vaqueros peligrosos. Por supuesto, la gravedad, por supuesto. , que lo mata. Eso no quiere decir que los sujetos pesados ​​no puedan ser tratados en comedia: el milagro del arroyo de Morgan, el Dr. Strangelove y la vida de Brian han demostrado que. De hecho, uno podría sugerir que los temas serios solo deben ser tratados por comedia: permite una visión de ojos más claros. El problema con Carlton-Browne es que cada situación debe tener una importancia más allá del simple cómic, para que se pese y Unfunny. En las tres películas mencionadas anteriormente, gran parte de la comedia surge de la reacción de carácter a una situación extrema, no la situación extrema en sí. Aquí, el guión es demasiado pobre para mantener las características cómicas ricas, y algunos de los mejores talentos de la comedia jamás ensamblados, Peter Sellers, Terry-Thomas, Raymond Huntley y John Le Mesurier, están criminalmente desperdiciados. Enriques-Thomas, sublime tan a menudo, espectáculos que no podía manejar las partes de plomo, y que necesitaba jugar burling, footes arrogantes, no los tofts sin cerebro. La música está hecha para llevar gran parte de la comedia, pero su fuerte ironía solo llama la atención sobre la falta de hilaridad en la pantalla. (Para ser justos, a diferencia de la mayoría de las comedias británicas del período, que estaban estrechas y subrodonadas, las rogacas a menudo tratan de hacer sus puntos a través de la película, por montaje y composición), solo Huntley logra elevar las risas genuinas, y eso es por ensayos Un personaje que pudo haber jugado en su sueño. Uno de las Farces de los Boultings han salido bien, nunca se consideran lo suficiente. Aunque Carlton-Browne se revela en el declive del Imperio, también parece ser antidemocrático y militarista. Estoy seguro de que esto no fue pensado, pero estos errores están obligados a suceder si permiten que las intenciones dignas tengan prioridad sobre la inteligencia cómica y el formulario de cine."
162,"Disparos redundantes, eternos, tomas inútiles, escenas inútiles son lo que encontrará en esta película.En otras palabras, me pareció técnicamente pobre para mí.Los Bits Musicales se dirigen aficionados (sin sincronización en la improvisación de los actores, etc.) de tiempo a tiempo, etc.).La película es larga y aburrida.Eventualmente, hace pocos puntos e incluso menos sentido.Sin embargo, hay algunas buenas ideas.Algunos de los elementos cómicos son realmente eficientes, especialmente la escena de apertura.Sin embargo, la película empeora y peor, de modo que sea completamente insoportable e imposible de entender al final.El remolque que vi fue muy dinámico, eso no es cierto para la película.Es decir, la discrepancia entre el remolque y la película real es algo muy cercano a una estafa."
163,"El efecto (s) sin causa generalmente no es posible en el mundo real, pero en el mundo de los rehenes de Hollywood, no solo es posible, se requiere. Se le ha dado la inquietud el tratamiento de la computadora de un cinematógrafo de 1ª clase-Turner-Director que una vez mostró una promesa (Jan de Bont-Speed), pero desde entonces ha producido una cadena de basura de Big Presupuesto (Twister, Speed ​​2). Eactor es superfluo En una película de este tipo y parecen darse cuenta. Liam Neeson y la cathrine Zeta-Jones actúan como si quieran que estuvieran en cualquier lugar, pero en esta película. Lili Taylor hace un intento de agregar algo a los procedimientos, pero lo que sea que algo pueda ser desconocido, ya que el guión se siente como si faltan la mitad de ella. Los eventos simplemente ocurren, los buenos y malos fantasmas se presentan sin ninguna rima o razón, y luego la historia solo termina con un no-evento más insatisfactorio destinado a envolver los 90 minutos anteriores de la inanidad. Realmente ni siquiera una razón para ver esto para ver esto. Los efectos ya que todos sabemos que cualquier cosa se puede poner en pantalla ahora. ¿Por qué no ver los efectos en el servicio de una buena historia en lugar de solo por su propio bien?"
164,"Para el registro, odio las películas de Spoof. ¡A excepción de Mel Brooks y avión! Porque esos son clásicos y se burlan de los clichés, no las películas reales en sí. Creo que las películas de Spoof son la parte inferior del cañón tanto para la comedia como de la película. Odio especialmente las cosas creadas por Jason Friedberg y Aaron Seltzer, los ""genios"" detrás de la película de la fecha, la película épica y conocer a los espartanos. Decidí dar un vistazo a las regresiones. Dado que Friedberg y Seltzer no tuvieron nada que ver con la producción, era lo más objetivo posible. Fue como una de sus películas. Básicamente, cada película deportiva se convirtió en uno con chistes de kindergarten cojo, y imágenes perturbadoras de lesiones corporales que se supone que me hacen reír y fallar. Soliendo alguien alto se reiría de estos chistes. Inodoro? ¿Quién escribió esto? ¿Un niño de 11 años? Me sorprendió ver que esta era la creación de los productores de Crashers de la boda, que en realidad era bastante decente. Pero el intento de que el género Spoof fue tan gracioso como un orfanato ardiente. La única razón por la que le di a estas estrellas (cuando se merecía claramente una), fue porque Friedberg & Seltzer no tenía nada que ver con esto."
165,"Esta película es poco más que un ersatz verhoeven.Se supone que la filmación es tele-realista, pero es simplemente enferma.La parodia desaparece después de unos 15 minutos para ser reemplazados por una historia que parece tomar en serio.Las pausas de Brechtian para los frenos de anuncios no existentes son tediosos e incluso dolorosos;Sin lugar a dudas, no había una intención real de hacer esta película, Brechtian, era solo un accidente que sucedió así.Si desea ver una parodia de Reality TV, vea Celebrity Deathmatch: es más divertido y Wittier, y más importante.Rara vez he sentido tanto dolor mientras veía una película.Para ser evitado como un conejo rabioso."
166,"Cuando pienso en las películas de televisión, siempre pienso en esta película, lo he visto unas cuantas veces en las películas de Sky, fue terrible. Has estado mucho tiempo, ya que he visto esta película, solo estaba navegando, y se encontró con ella. Aquí: -SA Microbiólogo (Linda Flemming), se va de vacaciones, con su hijo (William Flemming), en este lugar de vacaciones, en este lugar de vacaciones, se reúnen con Paul Johnson (Taxi Driver / Poders A Bar?), y Kathy Johnson. Es como una cosa romántica extraña, William comienza a caer en Kathy, y Pablo Falls para Linda. Algo guy se pasa en una calle, tiene un poco de marca en su brazo, José (José era un buceador de mar profundo, que en un poco de buceo, vio una luz, o algo, y convertido a la religión), dice que se encargará de esta persona, hay una brecha en mi memoria, entonces hay una gran interrupción del virus, creo que Linda le ofrece ayuda, por venir. con una cura, Kathy se infecta (William nota una marca en el brazo de Kathy), con el virus, también, Joseph.Paul dice algunas líneas a José, luego Joseph tropieza con un Manera, la próxima vez que veas a José, se le cura un poco de cómo, esa información se usa para curar lo infectado, entonces hay una fiesta en la playa, el final."
167,"Un melodrama de Talkie Talkie Temprano involuntariamente, con Kay Francis, ya que la condesa Balakireff persiguió a todo en pantalones.Al comienzo de la película, ella ""regresa"" ¡El StableBoy por ser demasiado joven antes de partir para el chofer!El juego de inglés de tono alto en el que se mueve es un grupo de cliché de Harummpf-ers que es ridículo.¡Pero el topper es Basil Rathbone como violinista italiano con un acento de Chico Marx!""¡Mi Violeen! ¡Cómo Weel volví a jugar a Eet!""""¡Patreecia, mi meelk es fría!""Es campy más allá de la creencia."
168,"El plantador talentoso Alvin Sargent, tristemente, no puede obtener ideas atractivas que se cocinan en este poco artificial acerca de una madre descarriada y su hija adolescente madura que intenta hacer que sus vidas funcionen en Los Ángeles a pesar del comportamiento fugitivo de mamá.Aparte de varias buenas secuencias, no comprético Susan Sarandon como una escama (ella es demasiado intrínsecamente inteligente y enfocada a ser transmitida como esta dama de Diablo-May-Care), y su personalidad naturalmente fundada es un mal ajuste para el papel.de un padre irresponsable.Las tarifas de Natalie Portman son mucho mejor como su hijo, y sin embargo, hay una alejamiento espeluznante para su trabajo (y algunas de sus escenas, como la que le pide a un niño que se desnuda, se incómoda).Ciertamente, no una pieza incompetente, ""en cualquier lugar, sino aquí"", tiene momentos que funcionan, pero no es una película adoptiva, ni ha demostrado ser importante.** de ****"
169,"*** Este post contiene spoiler (s) *** No soy un gran fanático de Chuck Norris como actor, pero lo adoro en todas las demás formas. También tiene su propio sitio web de fans con ""Hechos de Chuck Norris"" que realmente es entretenido. Pero esta película parece que alguien estaba bromeando con la audiencia que ponen todos esos ""hechos"" en una película. Realmente no recuerdo cuando perdí mi tiempo más que con esta ""acción"". No sé qué es lo peor que esta película puede ofrecerle: una parcela de terroristas no originales y miles de veces que están tratando de atribuirnos por el contrabando por el suelo de los Estados Unidos o quizás ese ""grandes"" diálogos y mandos de sabiduría sobre la vida. Y todo lo demás. Alguien puede encontrar lo peor que los terroristas realmente hablan inglés en la vida cotidiana. Es una lista de mierda sin fin. Sin mencionar la gran cantidad de imágenes de archivo utilizadas en la película, eso es un poco molesto. El Terrorista Jefe envía su mensaje de compañeros a través de los medios de comunicación cuando se captura y el único tipo lo suficientemente inteligente como para ver el tratamiento es: Chuck Norris, por supuesto. ¡Nadie más en América no es lo suficientemente inteligente como para ver eso! Y toda la acción en el jefe de captura es simplemente ridículo. Un hombre es enviado a caminar a través de todo un campamento terrorista desarmado (estoy mintiendo, tenía un cuchillo), escapa a sus acosadores con jet Pack y luego para se desliza durante unos cientos, tal vez incluso mil kilómetros a la costa más cercana (la frontera de Afganistan es 450. km lejos de la orilla más cercana), donde se rescata por submarino. Esperaba que al menos la lucha contra las escenas sean buenas, pero eso es aún más divertido que la trama. Si no lo sabía, el 85% del terrorista son maestros de un arte marcial, pero Chuck y Co Beat the Sh * t de ellos. No solo los matan fácilmente, pueden patearlos y tirarlos por un solo movimiento y los malos volan a pocos metros como muñecas. ¿Puedes preguntarme? ¿Miro esta película hasta el final? Yo hice. ¿Por qué? Porque solo quería ver quién, de estos dos súper héroes, desactivará la bomba nuclear de unos cientos de megatas y el tamaño de un microondas. Y luego me di cuenta de lo que soy tonto. Por supuesto, es la película de Chuck después de todo. Y no solo él desactivó por un solo a Nuke con pinzas, pero lo hace, ¡dos veces! Podría escribir un libro sobre todas las cosas estúpidas en esta película, pero gastaría mi vida Spawn. Así que, los fabricantes de esta película hicieron otro hecho de Chuck Norris que se agregará en su sitio web: ¿Puede Chuck Norris defusa la bomba nuclear? Sí, y él puede hacerlo dos veces!"
170,"Este será el comentario más inútil que he puesto, pero, sin embargo, debo hacerlo para advertirle sobre la atrocidad para el cine que ""Freddy's Dead"" es.¡No es solo el peor capítulo de la serie de pesadillas, sino que también está allí con la peor secuela de terror de todos los tiempos!Era aburrido, sin sentido y casi la muerte.El horrible final 3-D que termina y los muertes de Corny Top son suficientes para impulsar esta ""película"" en el suelo.Sin embargo, no se detiene allí, solo agregue una mala actuación, un script terrible, y una serie de camafeos quesos y tengándose esta pila de guano.No es de extrañar por qué Freddy, como siempre jugado por Robert Englund, ha hecho dos apariciones posmortemas.Yo también lo haría si salí así.Esta es una película estrictamente fanáticos, no mires a la vergüenza."
171,"""Más"" es otra adición más en la innumerable pila de drogadías de 60 años, trippy chatarra.Evita a todo el costo.Terrible actuación, un guión igualmente moribundo.Lo único que es para disfrutar es la maravillosa banda sonora de Pink Floyd, que es demasiado buena para los residuos estereotipados como este."
172,"Esta película es la peor película que he visto.La línea de la historia es débil, ni siquiera podía seguirlo.La actuación es de alto nivel de escuela.La pista de sonido es irritante.Los intentos de humor no son.La edición es horrible.Los créditos son incluso lentos: me avergüenzaría de tener mi nombre asociado con este desperdicio de película.No pierdas el tiempo incluso pensando en este intento de actuar."
173,"Para todas sus muchas fallas, me inclino a ser caritativa para ""cosa"". Hay la pepita de una historia de estilo Hitchcock Claustrophobic Hitchcock, interesante, espeluznante. Ponlo en manos de un escritor como Theodore Sturgeon o (si prefiere la perspectiva británica) Robert Bloch, o el tipo que escribió ""Día de los Triffids"", y podría haber tenido una pequeña historia inquietante de Spook, que fue la mejor. Cosa en una antología de libros de historias de horror y suspenso. Sin embargo, alguien decidió contar esta historia como una película de largometraje y una segunda tasa económica en ese momento, y por lo tanto la mayor parte del potencial se desperdicia. Una historia como esta realmente necesita una voz como Sturgeon para aportar una gran cantidad de carácter de carácter en una mejor luz. Su historia clásica ""The -widget-, The -wadget, y Boff"" es un ejemplo de cómo puede reunir a un grupo aislado de personajes ""ordinarios"" y en el espacio de 40 páginas puede convertirlos en los más divertidos, simpáticos y personas fascinantes que hayas conocido. Un buen escritor puede, con algunas palabras elegidas, hacer que el lector ""vea"" algunos de los eventos más vívidos y memorables para detectar sus emociones. En encuentro, obtenemos una película donde algunos de los personajes más irritantes y poco probables jamás hicieron. juntos e hechos para interactuar en poco convincente ""¿De dónde viene eso?"" Momentos que simplemente se encuentran allí. (Es decir, la chica psíquica rubia que declaba que ""eres todo el mal y espero que seas destruido!"". Obtenemos el paso de plomo y el bloqueo de cámara lenta y conjuntos aburridos y actores rígidos. Culpo al director por la parte 'rígida y superficial'. Estos son todos los terceros actores de carácter que nunca hicieron lo mejor, pero también son actores ""reales"", y un buen director podría haber obtenido mejores actuaciones de ellos. Nos afitamos para los matices de lesbianas que hacen que el espectador se sienta incómodo y explotado sin brindar ningún tipo de pago. (Si voy a hacer que mis instintos de base se exploten y se sientan culpables al respecto, quiero hacerlo por cosas mejoradas que esto). Y tenemos más de una hora de acumulación espeluznante difundida en unos 35 segundos en uno de los peores anti-clímaxes que he visto. ¿Cosas de cosas sobre ""cosa""? Um, bueno ... Algunas de las tomas de primer plano de la cabeza de Warlock, la boca en silencio, sus directivas fueron bastante efectivas. La viuda miserable y astuta sonó fiel a la vida (incluso si quisiera rellenar un calcetín en su boca). La primera escena donde la mano grande, ""simple"", la mano del rancho se vuelve silenciosamente en el vaquero graso y lo mata, tenía un poco de valor de choque, porque la trama se había tomado la molestia de establecer al tipo grande como un personaje bastante simpático. Y como dije anteriormente, la idea de una fuerza insidiosa del pasado convirtió a los miembros de una comunidad aislada entre sí es una buena y puede sufrir intereses muy por encima del mérito real de un mal desempeño. ¿Qué es definitivamente? Como dije, me inclino a ser caritativo, porque el director probablemente estaba trabajando bajo un presupuesto penoso, las limitaciones de tiempo de Breakneck y los mejores actores que podía encontrar por el dinero. El Cielo sabe cómo las generaciones futuras juzgarán la mierda facil como ""la cueva"", ""giro incorrecto"" o el remake de ""Casa de cera"" 40 años a partir de ahora. Espero que sean caritativos para nuestros propios gustos para apoyar a nuestras generaciones desechos de stock de cine."
174,"Un excelente rendimiento por parte de Alix Elias destaca una pila de Dreck de otro modo mal dirigida y confusa.He visto esta película, quizás 12 veces, y con cada carrera, encuentro menos y menos placer.¿Por qué son los muncillos tan lujuriosos?¿Eso ha explicado alguna vez?¿Son un reflejo de nuestro ""animal"" de Wantong, a favor de ""?""Si lo son, ¿por qué no hacerlo más obvio?¿Por qué no volver a reposar solo un toque de la sutileza que plague esta película y hace que esa conexión sea explícita?Otra parte de esta película que me molesta a ninguna motocicleta.La chaqueta El pequeño monstruo se usa en la portada parece sugerir al viajero 'Street-Wise'.Las gafas de sol dicen 'un tipo bastante fresco'.Con todo esto, estoy listo para facilitar el jinete, se encuentra con los muppets.Todo lo que recibo es MUNCHIES (1987).¿Lo que da?Pegue a la serie de Gremlins Si es un fanático de los títeres diminutivos, sabios, reptiles, le dará el tratamiento que usted merece."
175,"¿Cuándo será la tope la dolación?Nunca quiero volver a ver otra versión de una carol de Navidad.Siguen haciendo películas con la misma historia, cayendo entre sí al tratar de mejorar la película, entonces el resto, pero lamentablemente no lo hace, ya que esta no es una buena historia.Moralista, antiguo, pensando en feliz conservador.Como si la gente aprenda.Las numerosas versiones diferentes de esta película demuestran que no."
176,"Esa es la mejor manera en que puedo describir esta película que se centra en una pareja de recién casados ​​que se muda a una casa que está encantada por la primera esposa del esposo que murió bajo las circunstancias misteriosas. Eso suena bien y bueno, pero lo que se desarrolla es una hora de aburrimiento puro. De hecho, una de las cosas divertidas de esta película es que hay una advertencia al comienzo de la película que promete a cualquiera que muera de miedo a un ataúd libre. Bueno, confíe en mí, nadie los tomó en esa oferta, a menos que alguien fuera aterrorizado de los cráneos plásticos, los pavos reales, los jardineros extraños y las puertas que son golpeadas. Y la música es la peor, se compone de la música de tuba constante, que suena como si el sexto grado. Y averiguarás el terrible secreto que es tan obvio que realmente tienes que preguntarte qué pensaban las personas en esta película. Alguien muere mientras corría y golpeaba la cabeza y la policía nunca se llamaba para investigar. Sí, al final, este es un ritmo lento (que es realmente malo considerando que la película está a poco más de una hora), aburrido cuento, que es fácilmente resuelto por la persona promedio. Al parecer, ninguno de los personajes en esta película era la persona promedio."
177,"Lanza este perro cojo un hueso.Muy mal ... puedes ver de todos modos.KOL (Ross Hagen) es un tipo malo intergaláctico que se escapa siendo vaporizado por un comandante de nave espacial demasiado celoso (Jan-Michael Vincent).Kol logra robar un lanzadero que las tierras caídas en la tierra.Se envía un asesino de Android imparable para devolver al villano muerto o vivo.John Phillip Law interpreta a un bosque / parque Ranger que insta a la precaución al tratar con estos dos visitantes de lejos, lejos de distancia.Los disfraces son indignantes y el guión carece de inteligencia.Vincent seguramente tomó el dinero y corrió.La ley muestra el único signo de esfuerzo. Por lo que es malo es casi cómico.También en el elenco: Dyana Ortelli, P.J. SOLES DE SOLES Y DAWN WISPLITH."
178,"Este thriller psicológico del Reino Unido es conocido en los Estados Unidos como cierre. La explotación de los X-Files 'Gillian Anderson, que juega una atractiva empresaria de la sustancia de mediana edad llamada Alice. Ella debe asistir a una fiesta de negocios e invita a Adam (Danny Dyer), quien acaba de instalar un sistema de seguridad para ella, para ser su escolta. En el camino a casa, acelerando por los bosques en un carril estrecho, el auto de Alice choca con un ciervo. Después de tirar del animal herido, de la carretera, la pareja es salvajemente atacada por una pandilla borracha de matones. Adán es golpeado a una pulpa; Alice es una pandilla violada y ambos están emocionalmente y físicamente devastados por el despiadado ataque. Cuando se descubren las identidades de sus atacantes, Alice y Adam se dispusieron a la venganza exacta ... Brutal Revenge. La pareja a veces se encuentra en desacuerdo sobre cómo lidiar con los atacantes despiadados. Su decisión final es vengarse sin piedad. Que no se equivoquen, el reembolso es el infierno. También en el elenco: Anthony Becerro, Ralph Brown, Francesca Fowler y Antony Byrne. Violencia brutal, imágenes perturbadoras, desnudez y violación gráfica."
179,"I was at first disgusted with director Sun-Woo Jang because I had felt that he cheated me Jang had the potential to create a strong, deeply emotional film about sex and its effects on people, but instead chose to focus his strength on the pornography element more than the actual human element I couldn't see the characters at first and his sloppy introduction which blended both realism and cinema together was amateurish at best  yet this film remained in my mind for days after I viewed it What stayed with me wasn't the story, it wasn't the characters, nor was it the apparent pornographic nature of the film, but the transition that Jang demonstrated between Y and J If you watch this film carefully, you will see that both begin in an exploration phase of their relationship, eager to jump into the unknown, but not quite certain the next step As they continue to meet, exploring new avenues of pleasure, they continually jump between the aggressor and the aggressed Jang initially explores the idea that J is the one that in control of the situation, then hauntingly, the reversal happens when J becomes obsessed with Y It is a very small change, and due to the graphic content of this film, it can easily be missed, but it is there It becomes apparently clear near the end when J cannot live with Y, as their meetings become less frequent, and J attempts to become a part of normal society This was a huge and very exciting element to this film to see right before your eyes, but alas, it was the only element of this film worth viewingI will ignore those that speak of this film as nothing more than pornographic, because there are human elements at the core of this film, as underdeveloped as they are, they are there It is a film about a facet of our lives that is very rarely explored in cinema or talked about in the papers What happens behind closed doors is never known  or so we should believe While the act itself does becomes repetitive after a bit, director Jang tries to change it up a bit with some constantly changing scenery Our characters are continually moving from hotel room to hotel room to best quench their thirst for each other's flesh This is fun at first, but again, Jang's repetitive streak seems to make it feel boring than exciting This leads me to the biggest issue that I had with this film Jang had a great story with Gojitmal, but where he failed (outside of the obvious choice to focus directly on the pornographic side) was that he took scenes, repeated them time and again, without changing in front of us to allow us to get to know the characters Where was Jang going with this movie? Did he want the sex to tell the stories, or did he believe the characters would? He failed in this sense because by the end of the film we know so little about Y and J that we could care less how they resolve themselves The ending seems almost random at best as Jang attempts to create a final resolution for our two, absolute unknowns, of this film I have to give Jang some credit for trying, but not much He attempted to create some sub-stories that would create the personal element that we were lacking, but they just couldn't congeal well together Y's brother and J's wife were those plot points, but again, due to him focusing so strongly on the sexual element, these stronger sub-stories became un-rememberable and down-right dull Maybe it was just how I viewed this film, but outside of the sexual scenes, nothing else worked together We knew nothing about J and Y and that is why Gojitmal failedFinally, I would like to say that this film could have benefited from having a strong score or a daftly remote music genre element to it to bring us, the viewers, closer to the emotions being felt by J and Y From what I can remember, and I am trying to push this film far from my mind, I don't remember any musical undertones Gojitmal may have been a stronger film if Jang either stylized it with music or done something to allude towards our character's beings While I understand that he wanted the sex to speak for itself, there was just a technical element missing from this film that may have quenched a stronger desire for more Technically, this was a poor film Obviously an independent film in nature, it felt more like director Jang was trying to make symbolic references out of nothing instead of your typical independent of this nature I didn't see as much of a social message or human element like mentioned above, I just felt like he threw this film together over the course of two weeks and understood that the sex would sell it enough This was no Larry Clark production; this was sub-par and definitely needed some further technical clicks to develop it stronger than the final release! Overall, I think I could have liked this film and there were smaller elements that I did enjoy, but I felt this film was rushed, repetitive, and played too much towards the taboos instead of breaking them The obvious pitfalls of this film can be seen by the last scene of this film when we are privy to how the title of this film was conceived Our characters were uneventful, our story was underdeveloped, and we could have used something memorable to make what was happening between Y and J into something more symbolic than sex To me, Jang was trying too much to capture art house meets pornographic  and it failed miserably This was not a film worth the time and effort that it took to makeGrade: ** out of *****"
180,"En 1990, vi a Kathy Irlanda en persona, estaba en Denton durante la filmación de ""rugosidad necesaria"". Curiosamente, la voz que está usando en esta película no está muy lejos de su voz de habla real. En su lugar, la trama va así: Kathy recibe una carta diciéndole que su padre cae en un pozo sin fondo en África. Ella va e investiga el sitio de la muerte de su padre, solo para ser chupado en un mundo subterráneo que es parte de la pesadilla distópica, parte de una fantasía no inspiradora, y habitada por rechazos de los plásmatos. Esta película realmente desperdicia el talento de Linda Kerridge, quien, en mi opinión, podría haber sido alguien que había obtenido un gran papel que era el adecuado para ella. De todos modos, el héroe principal de la historia, GUS, es una marca MUY MARK ""JACHO"" JACKSON. El original es lo suficientemente molesto como para comenzar, pero este tipo realmente es tortura para ver. Finalmente, la Wanda Nebbish sale de su caparazón y termina con una parte superior de bikini y un sarong al final. Si vas a tener a Kathy Irlanda en una película en ropa escatimia, será mejor que sea un bikini. De todos modos, la película estaba muy mal y, legítimamente, sescada por MST3K.Avoid, éste, si es posible."
181,"This movie was disappointing It was incomplete and dull While Alec Baldwin tried to portray himself as the Perfect fair and just prosecutor (not to mention executive producer), the movie never showed any of the defense counsels or tried to challenge the audience with an actual meaningful debate on the subject of how a country could be led down such a terrible pathSure, nobody wants to defend the Nazi's point of view, but THAT WAS THE POINT of the Nuremberg Trails! Four hours of simply bashing on the Nazi's c'mon! Thats been done already!I really think Alec Baldwin should just stick to being Kim Bassinger's husbandRight after the movie ended, TNT showed the 1959 movie, Trail at Nuremberg That movie is FAR superior"
182,"Esta película es terrible.TERRIBLE.Una de las peores películas de la historia.Ni siquiera puedo imaginar que Gigli sea peor que esto.Las vistas previas nos hicieron decir ""No"", pero luego buscar algo en medio de la Dreck, ahora, decidimos seguir adelante y darle un disparo. Sistopid US.Affleck no es un actor.Es una imagen y puede verse bien con las explosiones, pero ni siquiera el tipo Bruce Willis se puso en ""Die Hard"".Si se despojaba de su camisa y corría por luchar contra malos, sería una comedia. La mejor parte era Catherine O'Hara, ella siempre es buena.Los flops de Gandolfini de nuevo (si no fuera por los sopranos, sería lavado) como lo hizo en ""el mexicano"" .ffleck Hogs cada escena y como otros han dicho: ningún personaje tiene ninguna motivación para sus acciones.Evita esta película a toda costa."
183,"Fue genial ver algunas de mis estrellas favoritas de hace 30 años, incluyendo John Ritter, Ben Gazarra y Audrey Hepburn. Parecían bastante maravillosos. Pero eso fue todo. No se les dio ningún carácter ni buenas líneas para trabajar. Ni entendí ni se preocupaba por lo que estaban haciendo los personajes. Algunos de los roles femeninos más pequeños estaban bien, Patty Henson y Colleen Camp eran bastante competentes y confiadas en sus pequeñas piezas laterales. Mostraron algo de talento y es triste que no se dirigieron a protagonizar más y mejores películas. Lamentablemente, no pensé que Dorothy Stratten tuviera la oportunidad de actuar en este solo importante papel importante. La película parece tener algunos fanáticos, y yo estaba muy abierta cuando comencé a observarlo. Soy un gran fanático de Peter Bogdanovich y disfruté su última película, ""Gato Meow"" y todos sus primeros de ""objetivos"" a ""Nickleodeon"". Entonces, realmente me sorprendió que apenas pudiera mantenerse despierto viendo este. Es irónico que esta película se trata de una agencia de detectives donde los detectives y clientes se involucran románticamente involucrados entre sí. Cinco años después, la ex novia de Bogdanovich, Cybil Shepherd tuvo una serie de televisión llamada ""Moonlighting"" robando la idea de la historia de Bogdanovich. Por supuesto, hubo una gran diferencia en la que la serie se basó en toneladas de diálogo ingenioso, mientras que esto intenta hacerlo con slapstick y unas pocas líneas de jornada de destornillado. Línea de Bottom: no es una ""luna de papel"" y solo un muy pálido Versión de ""qué pasa, doc""."
184,"En primer lugar, pensé que era travieso de ellos decir en los créditos que la historia y el guión eran por preston esturales. Las esturugas fueron una de las mejores guionistas de Hollywood hasta que su talento se desvaneció y se retiró. Sin embargo, no fueron las esturales de Preston, fue Preston Sturges, Jr. La historia se basó esencialmente en la historia corta de Robert Louis Stevenson ""The Bottle Imp"". Un buen hombre entra en posesión de un objeto malvado que le otorgará cualquier deseo, pero que finalmente lo convertirá al infierno. Esta bien. Nadie dijo que los guionistas tenían que ser originales. Los actores son generalmente bastante competentes, dada la escritura mediocre que tenían que traducir a la pantalla. Mi mayor queja viene con el final. El héroe piensa que ha descubierto una manera de salir de su dilema, pero trata de resolver el problema de una manera un tanto diferente en un intento por salvar a una persona inocente. Al principio, esto parece haber trabajado, pero fiel al Código de la película de terror moderna, sienten que tienen que proporcionar una última cucharada de horror al final de la película. Esta es una convención estúpida. Las películas de terror más antiguas se llevaron bien bien con permitir que el héroe gane al final. No hay nada de malo en triunfar mal, sin importar lo que el cultivo actual de los cineasta parece pensar. Puedes darle a la audiencia un buen gusto saludable y aún así hacer que se sientan felices al final. De hecho, creo que es preferible."
